PID,q1,q1ans,q2,q2ans,q3,q3ans,q4,q4ans,q5,q5ans,q6,q6ans,q7,q7ans,q8,q8ans,q9,q9ans,q10,q10ans,q11,q11ans,q12,q12ans,q13,q13ans,q14,q14ans,q15,q15ans,q16,q16ans,q17,q17ans,q18,q18ans,q19,q19ans,q20,q20ans,q21,q21ans,q22,q22ans,q23,q23ans,q24,q24ans,q25,q25ans,deckA_effort,deckA_boredom,deckB_effort,deckB_boredom,selfadmit,attencheck,nfc_1r,nfc_2r,nfc_3r,nfc_4r,nfc_5r,nfc_6r,nfc_7r,nfc_8r,nfc_9r,nfc_10r,nfc_11r,nfc_12r,nfc_13r,nfc_14r,nfc_15r,nfc_16r,nfc_17r,nfc_18r,bps1,bps2,bps3,bps4,bps5,bps6,bps7,bps8
55,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,0,6,7,0,No,Blue,4,5,2,2,2,4,2,4,4,2,4,3,4,3,5,5,3,4,3,2,5,2,3,2,1,3
57,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,1,6,1,5,No,Blue,3,4,2,1,1,2,2,4,2,4,2,1,4,5,5,2,2,4,1,1,3,1,3,1,5,1
58,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,0,3,4,3,No,Blue,3,4,2,2,2,3,3,2,2,4,4,2,4,5,4,5,1,4,2,5,4,4,3,2,3,4
59,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,2,2,3,1,No,Blue,4,4,2,2,2,4,3,4,4,4,4,2,4,4,3,4,2,2,3,3,2,2,2,2,2,3
60,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,0,7,3,3,No,Blue,3,3,3,5,4,2,4,3,5,3,5,1,3,2,1,5,5,1,2,1,2,1,1,1,3,1
61,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,0,7,1,1,No,Blue,5,4,1,2,2,5,3,2,3,5,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4
63,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,1,5,2,3,No,Blue,3,2,3,2,3,3,4,3,5,4,3,3,3,3,3,5,3,4,5,2,5,4,4,2,2,3
64,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,0,5,4,0,No,Blue,4,4,4,3,4,4,4,4,4,4,4,2,3,3,4,2,2,4,5,2,5,4,5,2,4,3
65,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,,,1,2,No,Blue,4,4,2,2,2,4,3,4,4,3,3,2,3,4,4,4,3,2,4,2,2,5,5,5,2,5
67,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,0,6,0,6,No,Blue,3,4,2,2,2,3,2,3,2,3,4,2,4,2,3,4,2,4,4,3,2,4,3,3,1,3
68,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,1,4,4,0,No,Blue,3,4,3,3,2,3,4,4,4,4,4,1,4,4,3,5,1,2,1,1,1,1,1,1,1,1
69,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,0,7,6,2,Yes,Green,2,4,4,4,5,3,5,2,4,3,5,2,3,4,2,5,2,5,7,3,7,4,3,3,1,5
70,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,0,7,6,2,No,Green,2,4,5,2,4,2,4,4,5,2,4,2,4,4,4,4,2,5,6,6,5,6,5,6,7,5
71,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,,7,,,No,Blue,4,4,1,4,5,2,2,2,2,4,4,2,4,4,4,4,3,3,4,4,4,4,4,4,4,4
72,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,,7,3,1,No,Blue,2,3,2,2,2,3,4,4,4,4,4,2,2,2,2,4,2,4,5,5,5,2,2,3,3,2
74,DECK B,incorrect,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,0,7,2,2,No,Blue,2,3,4,2,1,1,5,1,3,1,1,4,1,3,5,5,1,1,1,1,1,1,1,1,1,2
75,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK A, ,DECK B,blank,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,1,0,2,,No,Blue,3,3,3,4,4,3,4,2,4,4,5,2,4,4,4,5,2,3,4,2,5,5,5,4,2,4
76,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,0,0,0,3,No,Blue,5,5,1,1,1,5,1,4,1,1,4,1,4,5,5,5,1,4,6,5,3,6,2,5,3,1
77,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,,6,4,,No,Blue,2,2,3,4,4,2,5,5,5,3,2,4,3,4,2,4,4,4,5,1,5,3,3,2,2,2
78,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,0,7,4,,No,Blue,5,5,1,1,1,3,2,2,5,3,5,3,3,3,3,2,2,4,1,4,4,2,3,1,1,1
79,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,,7,0,1,Yes,Blue,3,3,4,3,3,2,4,2,4,3,3,2,2,2,4,4,2,2,6,5,6,2,3,3,3,3
80,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,,2,1,0,No,Blue,2,3,3,4,3,1,4,4,4,2,4,4,2,4,3,4,2,3,3,3,5,4,6,6,5,4
81,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,,4,5,1,No,Blue,2,2,3,3,2,3,3,4,4,4,2,3,2,2,2,4,2,5,6,3,4,2,6,4,2,4
82,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK A, ,DECK B,blank,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,1,7,3,2,Yes,Blue,1,4,5,3,4,2,3,2,3,3,3,3,3,3,3,3,3,3,4,6,7,7,5,6,3,4
83,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,incorrect,5,3,4,,Yes,Blue,3,2,4,4,4,4,4,4,4,3,2,3,2,2,3,4,2,3,2,5,6,2,5,2,2,3
84,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,0,4,5,0,Yes,Blue,4,2,3,2,2,3,2,4,4,4,3,2,2,3,2,4,1,2,1,3,5,5,5,6,3,4
85,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK A, ,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,1,3,4,2,No,Blue,4,4,3,3,3,5,4,4,4,4,4,2,4,4,5,5,5,3,5,5,6,5,3,4,5,5
86,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,0,3,0,3,No,Blue,3,2,3,2,3,2,3,2,2,3,3,2,2,3,3,2,2,2,4,5,7,2,3,7,4,4
87,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,1,7,1,4,Yes,Blue,4,4,2,1,2,4,1,1,2,3,4,2,3,3,5,3,2,4,4,3,6,3,4,3,3,2
88,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,,,4,0,No,Blue,3,3,2,2,4,3,4,3,4,3,3,3,4,3,3,4,2,4,2,3,5,3,4,3,4,5
89,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,blank,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,0,2,3,1,No,Green,2,2,2,3,2,2,3,2,4,3,2,2,1,3,2,4,4,2,4,4,5,3,5,3,1,1
90,DECK A, ,DECK A, ,DECK B,correct,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,,5,6,,No,Blue,2,4,2,2,2,4,4,2,3,4,4,2,4,4,3,4,4,3,4,2,5,5,2,2,5,2
91,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,4,7,4,,No,Blue,3,5,3,2,3,5,5,4,5,3,5,1,3,5,5,3,3,3,4,4,4,4,4,1,3,1
93,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,1,7,3,0,Yes,Blue,4,4,3,3,2,4,4,4,4,3,2,2,2,4,4,3,3,5,6,3,3,3,4,2,3,3
94,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,1,7,3,2,No,Blue,2,2,4,4,3,4,2,2,2,2,4,2,3,4,4,4,2,2,3,3,4,2,2,2,1,1
95,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,0,7,5,2,No,Blue,3,4,3,4,3,2,3,4,3,3,2,3,2,2,3,5,3,3,2,2,4,4,4,4,4,5
96,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK B,incorrect,DECK B,incorrect,6,2,7,2,No,Green,2,3,4,3,2,2,4,4,5,2,2,3,3,2,2,3,2,2,5,5,3,2,3,5,2,3
97,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,4,6,6,0,No,Blue,2,2,3,4,3,2,3,4,2,3,3,4,2,3,2,4,2,3,3,2,5,4,4,5,2,5
98,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,blank,DECK B,incorrect,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,1,6,1,6,Yes,Blue,3,2,3,4,3,3,3,3,3,3,4,3,3,2,3,4,3,3,4,3,2,4,4,2,2,2
99,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,0,2,4,0,No,Blue,1,2,5,5,4,1,5,4,5,3,2,4,1,2,1,4,5,3,6,3,4,1,2,3,1,1
100,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,0,7,1,0,Yes,Blue,2,4,3,2,3,5,2,4,4,3,3,2,3,2,3,2,1,4,3,3,3,4,2,1,1,3
102,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,0,3,2,1,No,Blue,3,2,4,4,3,3,2,2,2,3,4,3,2,3,3,4,3,3,2,2,5,4,2,3,3,3
103,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,blank,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,incorrect,DECK B,blank,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,,7,4,1,Yes,Blue,1,3,4,5,5,2,4,4,4,2,1,4,2,2,1,5,4,4,5,6,4,3,3,3,5,3
104,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,0,2,2,0,No,Blue,2,2,4,4,4,4,3,2,4,3,2,2,1,3,2,4,1,5,5,3,7,4,6,5,6,2
105,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK A, ,,7,1,4,Yes,Blue,2,3,3,3,3,3,2,4,3,3,3,3,3,3,2,5,4,4,4,4,5,5,4,4,4,5
106,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,blank,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,,5,2,1,No,Green,4,4,2,2,2,3,2,2,4,4,2,3,2,3,4,4,2,5,7,5,3,2,6,6,2,1
107,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK A, ,DECK A, ,0,7,4,0,No,Blue,3,4,2,4,2,4,2,4,4,5,4,1,5,4,4,1,2,3,1,3,3,5,2,2,4,3
108,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,incorrect,DECK B,incorrect,DECK B,incorrect,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,0,7,1,3,No,Blue,4,3,3,2,1,1,2,1,4,3,4,2,3,5,3,5,2,4,6,2,5,3,2,3,3,4
109,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,,7,7,1,Yes,Blue,3,3,3,4,4,4,4,4,2,3,3,3,3,3,3,2,4,3,6,4,5,6,6,6,6,4
110,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,1,4,4,2,Yes,Blue,3,2,3,4,3,2,4,4,5,4,4,3,4,3,3,5,4,4,6,5,4,5,5,5,6,4
111,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK B,correct,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,,7,1,,No,Green,3,2,4,3,3,3,4,4,5,3,2,4,1,2,3,4,4,3,7,5,5,7,7,7,7,7
112,DECK A, ,DECK B,correct,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK A, ,DECK B,incorrect,DECK B,correct,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,incorrect,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,DECK A, ,DECK B,correct,3,2,3,3,No,Blue,3,4,2,2,3,3,2,4,2,4,4,2,3,4,3,2,4,3,2,4,5,4,4,2,6,6
